Company,LemFi Relevance Score,Tier,Category,Main Employee Location,In Original List,Status,Last Funding Stage,Valuation Band,Est. Valuation / ARR (notes),Data Confidence,Category Fit,Market Overlap,Product Adjacency,Talent / Stage Poachability,Growth / Heat,Flags / Competitive Notes
TransferMate,75.4,B — Strong,Payment Infrastructure,Ireland,,Private,Late/Growth,$1-10B,Ireland B2B cross-border payments ~$1B,Medium,95,62,75,76,65,Cross-border rails peer
Pepper Money,75.4,B — Strong,Consumer Credit,"UK, Australia",Yes,Public,Public (ASX),Public,UK/AU non-bank lender,Low,88,100,48,75,42,UK
Affirm,75.4,B — Strong,Consumer Credit,USA,Yes,Public,Public (Nasdaq),Public,Nasdaq:AFRM; US BNPL leader; expanding EU,High,88,74,65,70,70,US talent; BNPL->banking
KOHO,75.2,B — Strong,Neobanks,Canada,,Private,Series D,$250M-1B,Canada neobank; banking-licence push; ~C$800m,Medium,90,70,62,84,65,Diaspora destination
JazzCash,75.2,B — Strong,Neobanks,Pakistan,,Subsidiary,Telco-backed,$250M-1B,Pakistan mobile wallet (Jazz/VEON),Low,90,78,68,66,60,Pakistan corridor
Easypaisa Digital Bank,75.1,B — Strong,Neobanks,Pakistan,,Subsidiary,Telco-backed,$250M-1B,Pakistan digital bank (Telenor/Ant),Low,90,78,65,66,62,Pakistan corridor
Capital One,75,B — Strong,Credit Cards,"UK, USA",Yes,Public,Public (NYSE),Public,NYSE:COF; US credit-card giant; Discover deal,Medium,74,100,60,70,55,US/UK; credit + data talent
Wayflyer,75,B — Strong,Business Lending,UK,Yes,Private,Series C,$1-10B,Ireland/UK e-comm financing unicorn ~$1.6B,Medium,64,100,52,88,65,UK talent
Upstox,75,B — Strong,Savings / Investments / Wealth,India,,Private,Late/Growth,$1-10B,India neobroker unicorn,Medium,86,80,60,76,62,India corridor; investments
Cred,74.8,B — Strong,Superapps,India,,Private,Late/Growth,$1-10B,India fintech superapp ~$6.4B (repriced down),Medium,82,80,75,76,55,India corridor; multi-product
SadaPay,74.8,B — Strong,Neobanks,Pakistan,,Subsidiary,Acquired (Papara),<$50M,"Pakistan neobank, acquired by Papara",Low,90,78,58,78,58,Pakistan corridor
Lean Technologies,74.7,B — Strong,Open Banking,UAE,,Private,Series B,$250M-1B,Saudi/UAE open-banking infra; fast-growing,Medium,72,76,68,86,75,Gulf; OB infra
Wio Bank,74.6,B — Strong,Neobanks,UAE,,Subsidiary,State-backed,$250M-1B,UAE digital bank (ADQ et al.),Low,90,76,62,66,65,Gulf corridor
Paytm (One97),74.6,B — Strong,Superapps,India,,Public,Public (NSE/BSE),Public,India payments superapp; recovering,Medium,82,80,78,70,55,India corridor; multi-product
Superscript,74.6,B — Strong,Insurtech,UK,Yes,Private,Series B,$50-250M,UK SME insurance broker,Medium,70,100,48,86,58,UK talent
Zego,74.6,B — Strong,Insurtech,UK,Yes,Private,Series C,$250M-1B,UK gig/fleet motor insurance unicorn; retrench,Medium,70,100,52,93,50,UK talent
Liberis,74.5,B — Strong,Business Lending,UK,,Private,Series C,$50-250M,UK embedded SME finance,Medium,64,100,55,88,60,UK; embedded finance
Plaid,74.5,B — Strong,Open Banking,USA,Yes,Private,Late/Growth,$1-10B,US open-banking leader ~$6B+; IPO-bound; hot,High,72,74,70,76,82,US; premier OB/data talent
Cellulant,74.5,B — Strong,Card Payment Processors,Kenya,Yes,Private,Late/Growth,$50-250M,Pan-African payments (Tingg),Medium,78,82,68,76,62,Pan-African corridors
iwoca,74.4,B — Strong,Business Lending,UK,Yes,Private,Late/Growth,$250M-1B,"UK SME lending; profitable, scaling",Medium,64,100,52,76,70,UK talent
Fawry,74.3,B — Strong,Card Payment Processors,Egypt,Yes,Public,Public (EGX),Public,Egypt payments super-network; listed,Medium,78,80,72,70,65,Egypt market; multi-product
Public,74.3,B — Strong,Savings / Investments / Wealth,USA,,Private,Series D,$1-10B,US investing app ~$1.5B,Medium,86,74,60,84,62,US; investments
PayU,74.2,B — Strong,Card Payment Processors,India,,Subsidiary,Prosus-owned,$1-10B,Global EM payments (Prosus); India core,Medium,78,80,68,78,62,India/EM corridors
myPOS,74.2,B — Strong,Card Payment Processors,UK,,Private,Private,$50-250M,UK/EU SMB payments,Low,78,100,52,68,52,UK
Perfios,74.2,B — Strong,Banking Infrastructure,India,,Private,Series D,$1-10B,India financial-data infra unicorn,Medium,74,80,55,84,75,India corridor
Modern Treasury,74.1,B — Strong,Banking Infrastructure,USA,,Private,Series C,$1-10B,US payment-ops infra ~$2B,Medium,74,74,62,88,75,US infra; payment-ops talent
Capital on Tap,74.1,B — Strong,Business Lending,UK,Yes,Private,PE/Growth,$250M-1B,UK SME card+credit; profitable,Medium,64,100,55,72,68,UK talent
Zeta,74,B — Strong,Banking Infrastructure,India,,Private,Series D,$1-10B,India banking-tech unicorn ~$2B,Medium,74,80,60,84,70,India corridor
BharatPe,73.9,B — Strong,Card Payment Processors,India,,Private,Late/Growth,$1-10B,India merchant payments+credit ~$2.85B,Medium,78,80,68,76,62,India corridor; multi-product
Qonto,73.9,B — Strong,Neobanks,France,,Private,Series D,$1-10B,"France SME neobank ~$5B; profitable, scaling EU",Medium,90,52,68,84,80,EU SME
Jaja Finance,73.9,B — Strong,Credit Cards,UK,Yes,Private,Late/Growth,$50-250M,UK digital credit cards,Low,74,100,52,81,48,UK
Yoco,73.9,B — Strong,Card Payment Processors,South Africa,Yes,Private,Series C,$250M-1B,SA SMB payments,Medium,78,80,58,88,62,SA market
Pine Labs,73.8,B — Strong,Card Payment Processors,India,,Public,Public (NSE/BSE),Public,India merchant payments+issuing; listed 2025,Medium,78,80,65,70,68,India corridor
NymCard,73.8,B — Strong,Banking Infrastructure,UAE,,Private,Series B,$50-250M,UAE/MENA card-issuing BaaS; fast-growing,Medium,74,76,62,86,72,Gulf/EM issuing infra
NewDay,73.5,B — Strong,Credit Cards,UK,Yes,Private,PE-backed,$1-10B,UK consumer credit-cards issuer; large,Medium,74,100,52,75,50,UK; credit-card talent
Jambopay,73.5,B — Strong,Card Payment Processors,Nigeria,Yes,Private,Private,<$50M,Nigeria/Kenya payments,Low,78,100,52,73,45,Nigeria/Kenya
Varo,73.5,B — Strong,Neobanks,USA,,Private,Late/Growth,$1-10B,US chartered neobank ~$2.5B; underbanked focus,Medium,90,74,62,76,55,US talent; inclusion thesis
INSHUR,73.5,B — Strong,Insurtech,"UK, USA",,Private,Series B,$50-250M,UK/US gig-economy motor insurance,Low,70,100,48,86,52,UK/US talent
Grab,73.5,B — Strong,Superapps,Singapore,Yes,Public,Public (Nasdaq),Public,SEA superapp (rides/delivery/fintech); profitable turn,High,82,62,85,70,70,SEA; multi-product superapp model
Dave,73.4,B — Strong,Neobanks,USA,,Public,Public (Nasdaq),Public,US neobank; turnaround to profitability,Medium,90,74,58,70,62,US talent
Slice,73.4,B — Strong,Credit Cards,India,,Private,Late/Growth,$1-10B,India credit+neobank unicorn; bank merger,Medium,74,80,65,76,68,India corridor; multi-product
Salt Edge,73.4,B — Strong,Open Banking,"Canada, UK",,Private,Bootstrapped,<$50M,Canada/UK open-banking API,Low,72,100,55,75,50,
Acorns,73.3,B — Strong,Savings / Investments / Wealth,USA,,Private,Late/Growth,$1-10B,US micro-investing ~$1.9B,Medium,86,74,62,76,60,US; savings+investments
Wealthfront,73.3,B — Strong,Savings / Investments / Wealth,USA,,Private,Late/Growth,$1-10B,US robo-advisor; IPO-bound,Medium,86,74,62,76,60,US; wealth
Onmo,73.2,B — Strong,Credit Cards,UK,Yes,Private,Series A,<$50M,UK credit-card+lending app,Low,74,100,52,75,48,UK
Liv,73.1,B — Strong,Neobanks,UAE,,Subsidiary,Bank-owned,n/a,Emirates NBD digital bank UAE,Low,90,76,58,78,52,Gulf corridor
Plooto,73,B — Strong,Payment Infrastructure,Canada,,Private,Series B,$50-250M,Canada SMB payments/AP-AR,Low,95,70,52,86,52,
Kriya,72.9,B — Strong,Business Lending,UK,,Private,Series B,$50-250M,UK B2B payments+credit (ex-MarketFinance),Low,64,100,52,86,55,UK talent
Moneyhub,72.9,B — Strong,Open Banking,UK,,Private,Private,$50-250M,UK open-finance data platform,Low,72,100,55,68,52,UK
Unit,72.9,B — Strong,Banking Infrastructure,USA,,Private,Series C,$1-10B,US BaaS unicorn ~$1.2B,Medium,74,74,60,88,70,US infra talent
Jumo,72.8,B — Strong,Banking Infrastructure,South Africa,Yes,Private,Late/Growth,$250M-1B,SA/Pan-African banking-as-a-service for EM credit,Medium,74,80,68,76,62,African EM credit infra
Uncapped,72.6,B — Strong,Business Lending,UK,Yes,Private,Series B,$50-250M,UK revenue-based financing,Low,64,100,50,86,55,UK talent
Acko,72.6,B — Strong,Insurtech,India,,Private,Series D,$1-10B,India unicorn ~$1.4B; auto/health/embedded insurance,Medium,70,80,58,84,70,India diaspora market
Zand Bank,72.5,B — Strong,Neobanks,UAE,,Private,Private,$250M-1B,UAE digital bank,Low,90,76,58,68,55,Gulf corridor
Imprint,72.5,B — Strong,Credit Cards,USA,,Private,Series C,$250M-1B,US co-brand credit-card platform; fast-growing,Medium,74,74,55,88,72,US; issuing talent
YAP,72.4,B — Strong,Neobanks,UAE,,Private,Series A,<$50M,UAE/MENA neobank,Low,90,76,58,75,50,Gulf corridor
Tractable,72.4,B — Strong,Insurtech,UK,Yes,Private,Series E,$1-10B,UK AI accident/damage; ~$1B val,Medium,70,100,42,80,55,UK AI talent
OFX,72.3,B — Strong,Remittance Payments,Australia,Yes,Public,Public (ASX),Public,"ASX:OFX, ~A$300-400m mkt cap; cross-border FX/payments",High,100,52,80,70,55,Direct cross-border peer
Baraka,72.1,B — Strong,Savings / Investments / Wealth,UAE,,Private,Series A,<$50M,UAE retail investing,Low,86,76,58,70,58,Gulf; investments
Stake,72.1,B — Strong,Savings / Investments / Wealth,UAE,,Private,Series A,$50-250M,UAE/AU investing app,Low,86,76,58,70,58,Gulf; investments
Betterment,72.1,B — Strong,Savings / Investments / Wealth,USA,,Private,Late/Growth,$1-10B,US robo-advisor ~$1.3B,Medium,86,74,60,76,55,US; wealth
Western Union,72,B — Strong,Remittance Payments,USA,Yes,Public,Public (NYSE),Public,"NYSE:WU; legacy remittance incumbent, declining digital share",High,100,74,60,80,30,Legacy competitor; senior talent poachable
Omnio,71.8,B — Strong,Banking Infrastructure,UK,Yes,Private,Private,<$50M,UK/EU banking platform,Low,74,100,52,73,42,UK
Finix,71.8,B — Strong,Card Payment Processors,USA,,Private,Series C,$250M-1B,US payments infra,Low,78,74,55,88,62,US
Upstart,71.7,B — Strong,Consumer Credit,USA,,Public,Public (Nasdaq),Public,Nasdaq:UPST; US AI lending,Medium,88,74,55,70,58,US AI-credit talent
Signzy,71.6,B — Strong,Banking Infrastructure,India,,Private,Series B,$50-250M,India KYC/onboarding infra,Low,74,80,52,86,62,India corridor
Chip,71.6,B — Strong,Savings / Investments / Wealth,Ireland,Yes,Private,Series B,$50-250M,UK/Ireland savings+investing app,Medium,86,62,62,86,62,UK; savings overlap
EQ Bank,71.4,B — Strong,Neobanks,Canada,,Subsidiary,Public parent (TSX),Public,Equitable Bank digital arm; Canada,Low,90,70,60,70,55,Diaspora destination
TransUnion,71.3,B — Strong,Consumer Credit,USA,Yes,Public,Public (NYSE),Public,NYSE:TRU; global credit bureau,High,88,74,58,75,50,Credit-data talent
N26,71.3,B — Strong,Neobanks,"Germany, Spain",Yes,Private,Series E,$1-10B,Germany neobank ~$9B peak; growth caps lifted 2024,Medium,90,55,70,80,62,EU talent
OneCard,71.3,B — Strong,Credit Cards,India,,Private,Late/Growth,$1-10B,India mobile credit-card unicorn,Medium,74,80,58,76,62,India corridor
NayaPay,71.3,B — Strong,Neobanks,Pakistan,,Private,Seed,<$50M,Pakistan payments/neobank,Low,90,78,58,58,52,Pakistan corridor
Bank Zero,71.3,B — Strong,Neobanks,South Africa,Yes,Private,Private/founder,<$50M,SA mutual-style digital bank,Low,90,80,52,67,48,SA market
InsuranceDekho,71.3,B — Strong,Insurtech,India,,Private,Series B,$250M-1B,India insurance distribution; ~$0.65B,Medium,70,80,50,86,68,India market
Cashew,71.3,B — Strong,Consumer Credit,UAE,,Private,Series A,<$50M,UAE BNPL,Low,88,76,52,70,55,Gulf
Alan,71.2,B — Strong,Insurtech,USA,Yes,Private,Series F,$1-10B,French health-insurance neobank ~$4B; multi-product health,Medium,70,74,62,78,72,Multi-product model
Tarabut,71.1,B — Strong,Open Banking,UAE,,Private,Series A,$50-250M,Saudi/MENA open-banking leader,Medium,72,76,65,70,68,Gulf; OB infra
Trade Republic,71,B — Strong,Savings / Investments / Wealth,Germany,,Private,Late/Growth,$1-10B,Germany neobroker ~$5B+; banking push; profitable,High,86,52,65,76,78,Investments->banking; multi-product
Adumo,71,B — Strong,Card Payment Processors,Kenya,Yes,Subsidiary,Acquired (Lesaka),n/a,"SA/African payments, Lesaka-owned",Low,78,82,55,78,52,African market
Borrowell,70.9,B — Strong,Consumer Credit,Canada,,Private,Series B,$50-250M,Canada credit/lending marketplace,Low,88,70,52,91,48,Diaspora destination
KalPay,70.8,B — Strong,Consumer Credit,Pakistan,,Private,Seed,<$50M,Pakistan BNPL,Low,88,78,55,58,55,Pakistan corridor
Sumeria (Lydia),70.8,B — Strong,Neobanks,France,,Private,Series C,$250M-1B,France P2P->neobank pivot; rebranded Sumeria,Medium,90,52,62,88,65,
Postpay,70.7,B — Strong,Consumer Credit,UAE,,Private,Series A,<$50M,UAE BNPL,Low,88,76,52,70,52,Gulf
ManyPets,70.7,B — Strong,Insurtech,UK,,Private,Late/Growth,$1-10B,UK pet insurance unicorn; post-peak retrench,Medium,70,100,42,81,45,UK talent
Ziina,70.7,B — Strong,Card Payment Processors,UAE,,Private,Series A,<$50M,UAE P2P/SMB payments; YC,Low,78,76,55,70,65,Gulf
Urban Jungle,70.5,B — Strong,Insurtech,UK,,Private,Series A,<$50M,UK home/contents insurance,Low,70,100,45,75,45,UK talent
Setu,70.4,B — Strong,Banking Infrastructure,India,,Subsidiary,Acquired (Pine Labs),n/a,"India API infra, Pine Labs-owned",Low,74,80,55,78,58,India corridor
Cardless,70.3,B — Strong,Credit Cards,USA,,Private,Series C,$250M-1B,US co-brand credit-card infra,Low,74,74,55,88,60,US
Mahaana,70.3,B — Strong,Savings / Investments / Wealth,Pakistan,,Private,Seed,<$50M,Pakistan digital wealth,Low,86,78,55,58,55,Pakistan corridor
Payhawk,70.2,B — Strong,Expensing / Payroll Payments,UK,Yes,Private,Series B,$1-10B,UK/Bulgaria spend-management unicorn ~$1B,Medium,52,100,48,86,62,UK talent
PingPong,70.2,B — Strong,Payment Infrastructure,China,,Private,Private/Growth,$1-10B,China cross-border payments for merchants; profitable,Medium,95,42,72,74,70,Cross-border corridors
WeBank,70.2,B — Strong,Neobanks,China,,Subsidiary,Tencent-backed,$10B+,~470m customers; world's largest digital bank; China,Medium,90,42,85,66,72,AI credit-scoring leader
Cuvva,69.9,B — Strong,Insurtech,UK,,Private,Series A,<$50M,UK flexible car insurance; slow growth,Low,70,100,45,75,42,UK talent
Onsurity,69.9,B — Strong,Insurtech,India,,Private,Series B,$50-250M,India SME health benefits,Low,70,80,48,86,62,India market
QisstPay,69.8,B — Strong,Consumer Credit,Pakistan,,Private,Seed,<$50M,Pakistan BNPL,Low,88,78,52,58,52,Pakistan corridor
Yubi,69.8,B — Strong,Business Lending,India,,Private,Series B,$1-10B,India debt-marketplace unicorn ~$1.5B,Medium,64,80,55,86,65,India corridor
Satispay,69.6,B — Strong,Payment Infrastructure,Italy,,Private,Series D,$1-10B,Italy payments unicorn,Medium,95,50,55,84,62,
LendingClub,69.5,B — Strong,Consumer Credit,USA,,Public,Public (NYSE),Public,US consumer lending/bank,Medium,88,74,52,75,45,US
Network International,69.4,B — Strong,Card Payment Processors,UAE,,Private,PE (Brookfield),$1-10B,MENA payments; taken private ~$2.7B,Medium,78,76,60,75,50,MENA/Africa rails
Alipay,69.3,B — Strong,Superapps,China,Yes,Subsidiary,Ant Group,$10B+,China superapp (Ant); ~1B+ users,Medium,82,42,92,72,70,Superapp model; talent less accessible
Helcim,69.3,B — Strong,Card Payment Processors,Canada,,Private,Series B,$50-250M,Canada SMB payments,Low,78,70,52,86,58,
Funding Circle,69.2,B — Strong,Business Lending,"UK, USA",Yes,Public,Public (LSE),Public,LSE:FCH; UK/US SME lending,Medium,64,100,48,75,45,UK talent
Magnati,69.2,B — Strong,Card Payment Processors,UAE,,Subsidiary,Bank-owned,n/a,UAE payments (FAB),Low,78,76,55,83,48,Gulf
PayTabs,69.1,B — Strong,Card Payment Processors,UAE,,Private,Private,$50-250M,Saudi/MENA payments,Low,78,76,58,68,55,MENA
Go Digit,69.1,B — Strong,Insurtech,India,,Public,Public (NSE/BSE),Public,Listed 2024; India general insurer,Medium,70,80,52,70,65,India market
Pleo,69,B — Strong,Expensing / Payroll Payments,"Sweden, UK",Yes,Private,Late/Growth,$1-10B,Denmark/UK spend management ~$4.7B,Medium,52,100,48,76,62,UK talent
FlexiLoans,69,B — Strong,Business Lending,India,,Private,Series C,$50-250M,India SME lending,Low,64,80,52,88,62,India corridor
Ramp,69,B — Strong,Expensing / Payroll Payments,USA,,Private,Late/Growth,$10B+,US spend mgmt ~$22B+; one of fastest-growing ever,High,52,74,55,76,95,"US — elite, hyper-growth talent"
Vivid Money,69,B — Strong,Neobanks,Germany,,Private,Series C,$250M-1B,Germany/EU money app,Low,90,52,62,88,55,
Fire (Fire.com),69,B — Strong,Payment Infrastructure,Ireland,,Private,Private,<$50M,Ireland/UK accounts+payments API,Low,95,62,55,73,48,UK/IE
Ant Group,68.9,B — Strong,Superapps,China,Yes,Private,Late/Growth,$10B+,China fintech giant ~$80B+; superapp infra,Medium,82,42,92,76,65,Multi-product model reference
DAPI,68.9,B — Strong,Open Banking,UAE,,Private,Series A,<$50M,UAE/MENA open-banking payments API,Low,72,76,60,70,60,Gulf
Lemonway,68.8,B — Strong,Payment Infrastructure,France,,Private,Series B,$50-250M,France marketplace payments,Low,95,52,55,91,50,
Scalable Capital,68.7,B — Strong,Savings / Investments / Wealth,Germany,,Private,Series E,$1-10B,Germany neobroker+wealth unicorn,Medium,86,52,62,80,65,Investments overlap
Galileo Financial Technologies,68.7,B — Strong,Banking Infrastructure,USA,,Subsidiary,SoFi-owned,n/a,"US card/issuing infra, SoFi-owned",Low,74,74,58,78,55,US infra
PB Fintech (PolicyBazaar),68.7,B — Strong,Insurtech,India,,Public,Public (NSE/BSE),Public,Listed; India's largest insurance marketplace,Medium,70,80,55,70,60,India market
Deel,68.6,B — Strong,Expensing / Payroll Payments,USA,,Private,Late/Growth,$10B+,US global payroll/EOR ~$12B+; hyper-growth,High,52,74,58,76,90,"Global payroll; hot, scaling fast"
Numeral,68.5,B — Strong,Payment Infrastructure,France,,Private,Series A,$50-250M,France bank-payment infra,Low,95,52,58,70,60,
Rippling,68.5,B — Strong,Expensing / Payroll Payments,USA,,Private,Late/Growth,$10B+,US HR/finance/IT platform ~$16.8B; hyper-growth,High,52,74,55,76,92,US — elite talent; multi-product
Mamo,68.5,B — Strong,Card Payment Processors,UAE,,Private,Series A,<$50M,UAE SMB payments,Low,78,76,52,70,55,Gulf
Soldo,68.2,B — Strong,Expensing / Payroll Payments,"UK, Italy",,Private,Series C,$250M-1B,UK/Italy spend management,Low,52,100,45,88,52,UK talent
Sun Finance,68.1,B — Strong,Consumer Credit,Latvia,,Private,Private,$250M-1B,"Latvia EM online lending; profitable, fast",Medium,88,55,55,68,68,EM markets
Nickel,68.1,B — Strong,Neobanks,France,,Subsidiary,BNP-owned,$1-10B,France mass-market accounts via tobacconists,Low,90,52,58,78,60,Distribution model
Nuvei,68,B — Strong,Card Payment Processors,Canada,,Private,PE (Advent),$1-10B,Canada payments; taken private 2024 ~$6.3B,Medium,78,70,60,70,55,
Trulioo,68,B — Strong,Banking Infrastructure,Canada,,Private,Series D,$1-10B,Global identity verification ~$1.75B,Medium,74,70,50,84,60,
Marqeta,68,B — Strong,Banking Infrastructure,USA,,Public,Public (Nasdaq),Public,Nasdaq:MQ; US card issuing platform,Medium,74,74,60,70,55,US infra talent
Alma,67.9,C — Watch,Consumer Credit,France,,Private,Series C,$250M-1B,France BNPL ~$0.6B,Medium,88,52,55,88,58,
Turtlemint,67.9,C — Watch,Insurtech,India,,Private,Series E,$250M-1B,India insurance distribution platform,Low,70,80,48,80,55,India market
Mogo,67.8,C — Watch,Consumer Credit,Canada,,Public,Public (TSX/Nasdaq),Public,Canada consumer finance,Low,88,70,50,80,40,
Kuflink,67.8,C — Watch,Business Lending,UK,Yes,Private,Private,<$50M,UK P2P property lending,Low,64,100,42,78,40,UK
Plum - group health (India),67.6,C — Watch,Insurtech,India,,Private,Series A,$50-250M,India group health benefits,Low,70,80,48,70,60,India market
Indifi,67.5,C — Watch,Business Lending,India,,Private,Series D,$50-250M,India SME lending,Low,64,80,50,84,58,India corridor
Scalapay,67.2,C — Watch,Consumer Credit,Italy,,Private,Series B,$1-10B,Italy BNPL unicorn,Medium,88,50,55,86,58,
Lightspeed,67,C — Watch,Card Payment Processors,Canada,,Public,Public (NYSE/TSX),Public,Commerce+payments platform,Medium,78,70,55,75,50,
WeChat Pay (Tenpay),66.9,C — Watch,Superapps,China,,Subsidiary,Tencent,$10B+,China payments superapp (Tencent),Low,82,42,88,72,60,Superapp model reference
MX,66.9,C — Watch,Open Banking,USA,,Private,Late/Growth,$1-10B,US financial-data/OB ~$1.9B,Medium,72,74,55,76,52,US
Swan,66.7,C — Watch,Banking Infrastructure,France,,Private,Series B,$50-250M,France embedded banking/BaaS; expanding EU,Medium,74,52,58,86,72,
Raisin,66.7,C — Watch,Savings / Investments / Wealth,Germany,,Private,Late/Growth,$1-10B,Germany savings marketplace unicorn,Medium,86,52,58,76,60,Savings product overlap
Vipps MobilePay,66.6,C — Watch,Payment Infrastructure,Norway,,Private,JV (Nordic banks),$1-10B,Nordic mobile payments leader,Low,95,50,58,66,55,
Tomorrow,66.5,C — Watch,Neobanks,Germany,,Private,Series B,<$50M,Germany sustainable neobank,Low,90,52,55,91,45,
Mintos,66.5,C — Watch,Savings / Investments / Wealth,Latvia,Yes,Private,Series A,$50-250M,Latvia retail investing/lending marketplace,Low,86,55,58,70,58,Investments overlap
Lianlian Global,66.4,C — Watch,Payment Infrastructure,China,,Public,Public (HK),Public,China cross-border payments; listed,Medium,95,42,68,70,55,Cross-border corridors
Coalition,66.4,C — Watch,Insurtech,USA,,Private,Series F,$1-10B,US cyber insurance unicorn ~$5B,Medium,70,74,42,78,62,
Lendingkart,66.3,C — Watch,Business Lending,India,,Private,Late/Growth,$250M-1B,India SME lending,Low,64,80,52,76,55,India corridor
MyInvestor,66.3,C — Watch,Savings / Investments / Wealth,Spain,,Subsidiary,Bank-backed,$250M-1B,Spain neobroker/neobank (Andbank),Low,86,55,60,66,58,
Fauree,66.1,C — Watch,Business Lending,Pakistan,,Private,Series A,<$50M,Pakistan supply-chain finance,Low,64,78,55,70,58,Pakistan corridor
Haball,66.1,C — Watch,Business Lending,Pakistan,,Private,Series A,<$50M,Pakistan B2B payments/finance,Low,64,78,55,70,58,Pakistan corridor
MYbank,66.1,C — Watch,Neobanks,China,,Subsidiary,Ant-affiliated,$10B+,Ant/Alibaba SME digital bank China,Low,90,42,72,66,60,Model learnings
Indexa Capital,66,C — Watch,Savings / Investments / Wealth,Spain,,Private,Private/Growth,$50-250M,Spain robo-advisor; profitable,Low,86,55,55,74,55,
Belvo,65.8,C — Watch,Open Banking,Spain,,Private,Series B,$50-250M,LatAm open-finance API,Medium,72,55,62,86,62,LatAm OB infra
Eleving Group,65.7,C — Watch,Consumer Credit,Latvia,,Public,Public (Frankfurt),Public,Latvia EM consumer/vehicle finance,Low,88,55,55,75,50,EM markets
Bluevine,65.7,C — Watch,Business Lending,USA,,Private,Late/Growth,$1-10B,US SMB banking+lending,Medium,64,74,55,76,58,US talent
Younited,65.4,C — Watch,Consumer Credit,France,,Private,Late/Growth,$250M-1B,France consumer credit unicorn,Medium,88,52,55,76,52,
Democrance,65.3,C — Watch,Insurtech,UAE,,Private,Series A,<$50M,UAE insurance SaaS for emerging markets,Low,70,76,48,75,50,Gulf/EM corridor
Jeeves,65.1,C — Watch,Expensing / Payroll Payments,USA,,Private,Series C,$1-10B,US/EM corporate cards+payments unicorn,Medium,52,74,55,88,65,EM exposure (LatAm/Africa)
Brex,64.9,C — Watch,Expensing / Payroll Payments,USA,,Private,Late/Growth,$1-10B,US corporate cards/spend ~$12B; profitable push,High,52,74,55,76,72,US talent; fintech-grade
INDEXO,64.8,C — Watch,Savings / Investments / Wealth,Latvia,,Public,Public (Nasdaq Riga),Public,Latvia pensions->bank,Low,86,55,55,75,48,
Root,64.6,C — Watch,Insurtech,USA,,Public,Public (Nasdaq),Public,Nasdaq:ROOT; US telematics auto insurer; turnaround,Medium,70,74,45,70,55,
Fintonic,64.6,C — Watch,Savings / Investments / Wealth,Spain,,Private,Late/Growth,$50-250M,Spain finance manager+marketplace,Low,86,55,52,81,45,
auxmoney,64.5,C — Watch,Consumer Credit,Germany,,Private,Late/Growth,$250M-1B,Germany consumer lending,Low,88,52,50,81,48,
JD Technology,64.4,C — Watch,Superapps,China,,Subsidiary,JD-affiliated,$10B+,China fintech (JD),Low,82,42,82,66,55,Model reference
TWINO,64.4,C — Watch,Consumer Credit,Latvia,,Private,Private,$50-250M,Latvia P2P/EM lending,Low,88,55,50,73,48,
Mambu,64.2,C — Watch,Banking Infrastructure,Germany,,Private,Series E,$1-10B,Germany core-banking SaaS ~$5B,Medium,74,52,58,80,62,Core-banking talent
4finance,64.2,C — Watch,Consumer Credit,Latvia,,Private,Private,$250M-1B,Latvia/EM consumer lending group,Low,88,55,52,73,45,
Fintecture,64,C — Watch,Open Banking,France,,Private,Series B,$50-250M,France A2A/open-banking payments,Low,72,52,58,86,60,
Next Insurance,63.9,C — Watch,Insurtech,USA,,Subsidiary,Acquired (Munich Re),n/a,"US SMB insurance, acquired 2025 ~$2.6B",Medium,70,74,42,83,45,
FLOA,63.7,C — Watch,Consumer Credit,France,,Subsidiary,BNP-owned,n/a,France BNPL/consumer credit,Low,88,52,50,83,42,
Addenda,63.5,C — Watch,Insurtech,UAE,,Private,Series A,<$50M,UAE blockchain insurance,Low,70,76,42,75,45,Gulf corridor
Navan,63.5,C — Watch,Expensing / Payroll Payments,USA,,Private,Late/Growth,$1-10B,US travel+expense ~$9B; IPO-bound,Medium,52,74,48,76,70,US talent
Alaan,63.3,C — Watch,Expensing / Payroll Payments,UAE,,Private,Series A,$50-250M,UAE spend management; YC; fast-growing,Medium,52,76,48,70,70,Gulf
Du Xiaoman,63.1,C — Watch,Consumer Credit,China,,Subsidiary,Baidu-affiliated,$10B+,China consumer credit (Baidu),Low,88,42,62,66,55,Model learnings
Fenergo,63,C — Watch,Banking Infrastructure,Ireland,,Private,PE-backed,$1-10B,Ireland KYC/AML infra ~$1B+,Medium,74,62,48,70,55,
Volopay,62.9,C — Watch,Expensing / Payroll Payments,India,,Private,Series A,$50-250M,India/SEA spend management,Low,52,80,48,70,62,India/SEA corridor
Bridge by Bankin',62.9,C — Watch,Open Banking,France,,Private,Series C,$50-250M,France open-banking/payments,Low,72,52,55,88,55,
Cofidis,62.7,C — Watch,Consumer Credit,France,,Subsidiary,Bank-owned,n/a,France consumer credit (Credit Mutuel),Low,88,52,48,88,35,
Nordigen,62.5,C — Watch,Open Banking,Latvia,,Subsidiary,Acquired (GoCardless),n/a,"Latvia free OB data, GoCardless-owned",Low,72,55,55,78,55,
HeavyFinance,61.8,C — Watch,Savings / Investments / Wealth,Lithuania,,Private,Seed,<$50M,Lithuania agri-investing,Low,86,55,48,63,45,
